Date,Open,High,Low,Close,Volume
2025-08-22,129.78,131.47,129.34,129.93,3902342
2025-08-25,129.64,133.71,129.23,132.87,6616946
2025-08-26,132.79,135.09,131.55,134.98,5889206
2025-08-27,135.19,138.08,135.09,137.08,2137229
2025-08-28,137.07,143.42,136.31,141.9,4472343
2025-08-29,141.96,142.14,137.26,138.08,3037898
2025-09-01,138.05,138.61,134.57,136.12,6378287
2025-09-02,136.11,136.66,131.27,132.11,6955831
2025-09-03,132.28,132.4,131.48,131.75,6485385
2025-09-04,131.85,134.66,131.79,134.59,8955667
2025-09-05,134.58,135.12,133.64,134.47,6753606
2025-09-08,134.59,135.99,134.55,135.89,2493104
2025-09-09,136.03,136.44,129.96,130.12,2164452
2025-09-10,130.09,130.92,129.65,130.49,8387416
2025-09-11,130.52,130.69,127.73,127.83,6448068
2025-09-12,127.86,133.19,126.8,132.77,6023038
2025-09-15,132.68,135.74,132.67,135.31,7998530
2025-09-16,135.47,138.84,135.19,138.08,7400755
2025-09-17,138.06,138.21,136.58,137.85,8738297
2025-09-18,137.77,139.72,136.97,139.66,2204748
2025-09-19,139.42,141.83,139.16,141.62,6805542
2025-09-22,141.44,142.34,139.64,140.49,5230198
2025-09-23,140.71,141.02,138.71,138.9,5354803
2025-09-24,138.74,138.93,138.07,138.49,9447567
2025-09-25,138.55,138.66,135.9,136.59,4216543
2025-09-26,136.54,137.37,134.43,134.75,3146656
2025-09-29,134.82,135.15,133.83,133.86,4007940
2025-09-30,133.94,134.17,131.18,131.66,3666307
2025-10-01,131.56,134.13,131.55,133.82,2567541
2025-10-02,133.79,133.95,128.78,129.07,5147212
2025-10-03,129.09,131.68,128.69,131.36,4196979
2025-10-06,131.37,132.36,129.31,129.5,5854167
2025-10-07,129.5,129.67,127.29,127.89,3098750
2025-10-08,127.85,128.36,124.01,124.04,2356408
2025-10-09,124.12,124.67,123.33,123.6,3857621
2025-10-10,123.76,124.3,122.14,122.87,2615930
2025-10-13,122.94,123.44,122.72,123.34,4409621
2025-10-14,123.25,124.16,121.21,121.84,6768645
2025-10-15,121.89,122.1,121.87,122.05,6084762
2025-10-16,122.05,127.06,121.93,126.88,2030999
2025-10-17,126.94,128.05,126.81,127.98,7581092
