Date,Open,High,Low,Close,Volume
2025-08-22,12014.76,12120.37,11949.36,12014.59,8806863
2025-08-25,12021.57,12343.96,11994.62,12315.86,5132300
2025-08-26,12299.49,12596.14,12292.23,12594.75,2377953
2025-08-27,12605.93,12654.47,12419.25,12486.62,2949531
2025-08-28,12477.09,12483.38,12400.68,12427.14,2691265
2025-08-29,12418.01,12428.93,12266.67,12316.62,2977093
2025-09-01,12314.19,12525.02,12259.88,12450.32,8626691
2025-09-02,12443.31,12467.53,12389.72,12445.23,2362488
2025-09-03,12448.85,12642.47,12446.71,12620.01,7722844
2025-09-04,12612.76,12630.42,12197.59,12207.94,3362821
2025-09-05,12194.88,12582.58,12142.23,12559.5,3833436
2025-09-08,12548.88,12554.76,12526.54,12545.24,3964662
2025-09-09,12561.7,12722.51,12544.7,12706.41,6115931
2025-09-10,12706.97,12707.66,12615.56,12682.79,7082327
2025-09-11,12667.99,12706.46,12585.33,12603.86,6733618
2025-09-12,12603.97,12742.01,12573.18,12716.49,6641342
2025-09-15,12696.7,12941.11,12696.23,12912.85,2985720
2025-09-16,12935.95,12966.37,12842.71,12873.52,6724312
2025-09-17,12853.89,12943.55,12821.05,12845.84,2723884
2025-09-18,12851.99,13017.39,12843.98,13012.1,8576073
2025-09-19,13019.17,13070.82,12787.53,12816.06,2510800
2025-09-22,12797.47,12817.61,12394.58,12474.39,2761102
2025-09-23,12478.14,12598.93,12435.25,12570.57,3538110
2025-09-24,12583.1,12620.8,12418.27,12426.38,5111216
2025-09-25,12432.19,12438.16,11959.71,12004.3,8758966
2025-09-26,12007.44,12019.76,11772.09,11835.61,2634345
2025-09-29,11846.84,11875.95,11686.36,11743.09,3529277
2025-09-30,11744.98,11804.5,11455.7,11497.92,5350144
2025-10-01,11501.79,11529.15,11187.95,11195.94,3813241
2025-10-02,11194.52,11214.29,11148.73,11210.04,2630353
2025-10-03,11217.12,11470.79,11206.58,11397.81,6475951
2025-10-06,11387.08,11494.59,11279.77,11356.82,2530756
2025-10-07,11365.81,11385.78,11205.01,11211.63,7721710
2025-10-08,11205.96,11320.45,11148.83,11296.05,2834021
2025-10-09,11283.73,11468.42,11270.71,11448.66,5522872
2025-10-10,11452.84,11475.38,11342.67,11393.71,5119112
2025-10-13,11413.0,11529.03,11401.29,11512.25,8002407
2025-10-14,11523.32,11808.71,11478.06,11735.26,8104827
2025-10-15,11729.21,11745.83,11662.65,11698.58,5785913
2025-10-16,11706.75,11727.05,11481.1,11534.3,4255300
2025-10-17,11529.06,11630.72,11468.07,11613.4,8881041
2025-10-20,11611.96,11707.14,11585.1,11672.11,7934450
2025-10-21,11673.16,11935.84,11578.73,11909.97,4065892
2025-10-22,11882.38,11892.28,11605.21,11641.73,3866288
2025-10-23,11643.96,11681.77,11438.57,11510.08,9027984
2025-10-24,11498.22,11500.0,11307.46,11343.33,4297722
2025-10-27,11335.42,11345.72,10952.75,10996.08,3157940
2025-10-28,10979.87,11060.94,10900.89,11027.71,5771426
2025-10-29,11010.98,11141.0,10999.88,11139.09,6493026
2025-10-30,11128.58,11152.15,10924.56,10997.65,2599842
2025-10-31,11006.72,11344.23,10985.49,11278.54,9454961
2025-11-03,11297.33,11497.45,11216.54,11452.17,5590998
2025-11-04,11451.88,11647.23,11331.28,11588.37,7087067
2025-11-05,11601.02,11707.5,11582.64,11679.12,6668567
2025-11-06,11676.03,11892.24,11569.18,11887.03,9362121
2025-11-07,11864.3,11884.19,11581.5,11609.16,8596599
2025-11-10,11610.9,11757.54,11572.35,11744.42,5145272
2025-11-11,11749.65,11923.92,11744.45,11878.89,2449284
2025-11-12,11873.8,11879.11,11493.15,11508.04,7044040
2025-11-13,11511.52,11655.56,11483.19,11586.83,8399327
2025-11-14,11593.47,11595.28,11465.73,11541.56,8808889
2025-11-17,11531.59,11777.18,11474.62,11710.84,6557268
2025-11-18,11693.55,11701.31,11599.09,11625.32,6337491
2025-11-19,11622.74,11684.47,11606.7,11628.47,6626674
2025-11-20,11626.02,11766.4,11559.78,11707.21,3186974
2025-11-21,11703.09,11708.64,11455.12,11529.58,2408675
2025-11-24,11540.97,11664.38,11450.98,11660.73,5707324
2025-11-25,11680.85,11758.5,11601.31,11645.7,9039050
2025-11-26,11640.84,11791.1,11559.92,11755.92,4367894
2025-11-27,11764.13,11865.92,11649.93,11652.55,4218663
2025-11-28,11663.51,11957.8,11655.9,11887.37,9959031
2025-12-01,11895.84,12111.52,11824.3,12024.0,6371805
2025-12-02,12036.59,12069.7,11981.77,11992.68,2733377
2025-12-03,11988.01,12160.28,11972.51,12136.29,6309003
2025-12-04,12145.27,12427.66,12071.54,12418.77,2276148
2025-12-05,12443.92,12900.77,12379.79,12826.62,9280622
2025-12-08,12836.93,12903.64,12426.46,12471.01,8323212
2025-12-09,12463.28,12701.72,12393.46,12676.74,6811327
2025-12-10,12684.44,12828.91,12604.66,12790.46,9845923
2025-12-11,12806.61,12820.8,12718.98,12776.53,9930861
2025-12-12,12781.24,12858.77,12506.15,12552.68,4975397
2025-12-15,12545.61,12862.14,12538.16,12844.27,3857160
2025-12-16,12864.09,12912.27,12506.31,12560.27,4202706
2025-12-17,12544.57,12783.09,12535.36,12695.99,7297365
2025-12-18,12702.38,13023.8,12637.41,13001.12,3973739
2025-12-19,13000.91,13008.54,12552.18,12634.56,6614631
2025-12-22,12619.48,12672.39,12522.1,12573.34,5987038
2025-12-23,12588.68,12656.62,12278.59,12284.59,6108287
2025-12-24,12288.86,12368.5,12279.61,12345.92,8275419
2025-12-25,12331.52,12727.44,12272.02,12689.86,7020965
2025-12-26,12697.5,13183.4,12625.38,13159.69,6354777
2025-12-29,13154.01,13173.13,12744.7,12746.4,6404745
2025-12-30,12722.15,12737.92,12611.57,12622.13,5136297
2025-12-31,12613.44,12844.81,12586.7,12789.55,4694663
2026-01-01,12792.92,13249.77,12768.77,13160.82,8616013
2026-01-02,13169.18,13282.6,13144.75,13268.49,7132633
2026-01-05,13270.69,13280.89,13085.7,13098.25,4934807
2026-01-06,13098.84,13206.27,13079.21,13176.16,2667132
2026-01-07,13182.36,13281.88,13155.45,13180.13,8465167
2026-01-08,13177.35,13178.31,13134.31,13139.7,5832155
2026-01-09,13155.16,13210.97,12939.85,12973.87,8282556
2026-01-12,12975.8,13197.03,12974.37,13072.09,5622574
2026-01-13,13075.93,13190.27,13056.91,13152.38,7235941
2026-01-14,13159.49,13166.93,13019.18,13138.26,3705842
2026-01-15,13124.37,13134.57,13067.98,13093.71,3448315
2026-01-16,13084.43,13216.05,12783.03,12798.73,6544706
2026-01-19,12818.29,12854.84,12620.12,12694.41,7993304
2026-01-20,12698.66,13062.28,12593.1,12977.7,7359354
2026-01-21,12974.03,13011.85,12850.74,12940.97,7567434
2026-01-22,12945.39,12980.77,12553.4,12613.37,3000105
2026-01-23,12607.3,12961.27,12601.54,12923.91,8049142
2026-01-26,12927.51,13135.87,12801.34,13055.02,4375860
2026-01-27,13046.33,13608.99,13025.91,13558.24,6461829
2026-01-28,13561.98,13655.23,13496.44,13581.63,2496201
2026-01-29,13560.2,13572.59,13465.01,13476.98,3084828
2026-01-30,13494.92,13498.33,13004.46,13133.89,6777298
2026-02-02,13127.15,13497.15,13005.67,13454.74,9688895
2026-02-03,13433.46,14171.92,13378.73,14085.11,2653472
2026-02-04,14081.96,14087.21,13875.16,13885.43,3508331
2026-02-05,13880.28,13938.82,13660.7,13732.03,3835214
2026-02-06,13734.12,13956.65,13672.74,13887.63,7659927
2026-02-09,13871.73,13926.8,13604.13,13688.4,5582922
2026-02-10,13693.84,13716.75,13568.11,13629.95,8368575
2026-02-11,13679.34,13793.19,13473.62,13552.3,5613931
2026-02-12,13534.97,13613.01,13493.56,13607.25,9287573
2026-02-13,13611.85,13937.55,13551.51,13883.57,2263894
2026-02-16,13879.26,13915.16,13832.38,13897.42,6555087
2026-02-17,13900.09,14201.9,13839.2,14135.62,9578605
2026-02-18,14110.01,14169.29,13988.87,14037.27,7967296
2026-02-19,14021.11,14170.27,13954.08,14128.52,3840277
2026-02-20,14135.01,14155.16,13549.3,13593.21,3401187
2026-02-23,13592.69,13624.99,13241.63,13246.6,6879769
2026-02-24,13268.26,13461.69,13245.29,13444.32,2802947
2026-02-25,13434.85,13498.89,13261.89,13309.58,3777654
2026-02-26,13311.9,13468.08,13299.25,13456.49,6234909
2026-02-27,13495.69,13617.42,13393.52,13595.93,6766205
2026-03-02,13585.52,13997.41,13570.53,13927.69,9126549
2026-03-03,13915.1,14205.18,13893.05,14139.58,4821976
2026-03-04,14139.08,14449.13,14100.71,14406.9,3902994
2026-03-05,14406.25,14425.07,14314.43,14386.58,4548691
2026-03-06,14398.73,14412.74,14116.96,14214.39,6649694
2026-03-09,14216.23,14274.77,14018.25,14035.74,5795185
2026-03-10,14025.12,14082.05,13857.48,13920.86,2262169
2026-03-11,13923.8,13969.82,13570.45,13646.1,6690555
2026-03-12,13682.11,13701.45,13429.89,13519.82,8107607
2026-03-13,13537.02,13553.04,13495.26,13505.41,6785484
2026-03-16,13467.83,13615.15,13419.83,13574.68,6193639
2026-03-17,13572.75,13612.8,13499.15,13500.02,7507989
2026-03-18,13488.2,13530.54,13004.65,13040.66,6107357
2026-03-19,13048.78,13057.8,13015.25,13031.52,4148688
2026-03-20,13029.26,13146.57,12948.04,13092.2,3198531
2026-03-23,13117.5,13370.97,13096.94,13355.62,2732820
2026-03-24,13368.06,13508.65,13360.28,13502.55,5188988
2026-03-25,13514.57,13540.14,13335.75,13354.24,4026809
2026-03-26,13356.73,13358.55,13185.21,13188.27,7403578
2026-03-27,13187.74,13716.9,13143.35,13673.48,4613602
2026-03-30,13678.13,13937.39,13630.02,13867.91,6445205
2026-03-31,13885.87,14415.14,13865.33,14333.4,6858989
2026-04-01,14341.06,14937.93,14335.03,14891.4,7909475
2026-04-02,14886.17,14895.97,14539.31,14681.05,5315077
2026-04-03,14699.77,14873.17,14674.98,14791.67,4882748
2026-04-06,14794.51,14958.36,14783.51,14922.53,4490094
2026-04-07,14921.37,15158.64,14799.03,15081.8,7370482
2026-04-08,15069.86,15303.24,15069.29,15237.96,2786743
2026-04-09,15229.33,15353.53,15162.49,15302.52,7166614
2026-04-10,15292.79,15455.33,15251.52,15359.67,6773105
2026-04-13,15316.78,15364.7,14899.66,14953.48,3806842
2026-04-14,14968.68,14996.38,14888.26,14917.93,2879797
2026-04-15,14926.38,14982.19,14706.91,14726.13,4716891
2026-04-16,14722.97,14834.71,14715.51,14768.39,6135159
2026-04-17,14783.83,14794.74,14608.21,14652.96,4014228
2026-04-20,14659.38,14826.34,14627.07,14824.89,7506878
2026-04-21,14830.4,15081.71,14795.2,15052.35,6934319
2026-04-22,15015.1,15202.67,14945.06,15145.02,6984786
2026-04-23,15141.49,15295.67,15097.82,15240.3,5085867
2026-04-24,15248.41,15328.8,15213.51,15274.94,3277772
2026-04-27,15299.53,15329.98,15037.37,15160.98,5938683
2026-04-28,15188.88,15209.64,15091.69,15125.19,4847692
2026-04-29,15146.75,15181.78,14909.96,14999.32,8489357
2026-04-30,14981.9,15178.26,14903.05,15113.07,9527473
