Date,Open,High,Low,Close,Volume
2025-08-22,17.46,17.56,17.4,17.45,6737547
2025-08-25,17.43,17.5,17.1,17.11,7490256
2025-08-26,17.1,17.32,17.03,17.27,2543685
2025-08-27,17.28,17.3,16.96,17.09,3121806
2025-08-28,17.09,17.33,17.06,17.3,3010279
2025-08-29,17.3,17.74,17.27,17.62,9121308
2025-09-01,17.65,17.65,17.05,17.08,9369165
2025-09-02,17.07,17.59,17.06,17.48,5760339
2025-09-03,17.46,17.47,17.23,17.26,4528730
2025-09-04,17.23,18.15,17.19,18.07,7350198
2025-09-05,18.07,18.4,17.95,18.38,5501544
2025-09-08,18.39,18.45,18.14,18.18,5642666
2025-09-09,18.17,18.28,18.09,18.27,9015803
2025-09-10,18.31,18.44,18.2,18.38,5977748
2025-09-11,18.4,18.54,18.36,18.53,6590633
2025-09-12,18.54,19.17,18.5,19.11,3557592
2025-09-15,19.09,19.43,19.05,19.35,9379367
2025-09-16,19.36,20.14,19.35,20.08,2036992
2025-09-17,20.08,20.47,20.08,20.38,4991571
2025-09-18,20.33,20.35,20.28,20.31,6457803
2025-09-19,20.31,20.36,19.54,19.65,5853240
2025-09-22,19.65,19.74,18.84,18.99,3222418
2025-09-23,18.96,19.15,18.88,19.1,6946069
2025-09-24,19.11,19.46,19.07,19.4,2030254
2025-09-25,19.44,20.05,19.44,20.04,5942448
2025-09-26,20.05,20.2,19.76,19.79,7688487
2025-09-29,19.77,19.88,19.63,19.84,4477448
2025-09-30,19.83,19.88,19.43,19.5,7136636
2025-10-01,19.52,19.53,19.29,19.34,8334081
2025-10-02,19.32,19.45,18.38,18.38,7011791
2025-10-03,18.39,18.71,18.39,18.7,7204934
2025-10-06,18.7,18.83,18.4,18.42,9037967
2025-10-07,18.42,18.51,18.34,18.41,4090757
2025-10-08,18.44,18.65,18.43,18.6,9609924
2025-10-09,18.57,18.82,18.49,18.76,3858460
2025-10-10,18.78,18.8,18.2,18.23,5974385
2025-10-13,18.24,18.86,18.2,18.86,8945832
2025-10-14,18.86,19.25,18.74,19.19,3356556
2025-10-15,19.16,19.46,19.12,19.42,4345421
2025-10-16,19.42,19.5,19.15,19.15,3579172
2025-10-17,19.15,19.31,18.48,18.5,7651066
2025-10-20,18.44,18.45,17.84,17.85,5914972
2025-10-21,17.82,17.85,17.66,17.78,4948753
2025-10-22,17.76,17.99,17.64,17.86,6842149
2025-10-23,17.84,17.86,17.59,17.6,3540414
2025-10-24,17.59,18.49,17.46,18.33,2768204
2025-10-27,18.31,18.5,18.31,18.46,8224001
2025-10-28,18.49,18.93,18.42,18.89,7100624
2025-10-29,18.91,19.36,18.77,19.28,5181795
2025-10-30,19.28,19.41,18.76,18.84,4916717
2025-10-31,18.87,19.29,18.83,19.27,4988676
2025-11-03,19.31,19.55,19.3,19.48,7934266
2025-11-04,19.49,19.6,18.94,18.95,3035504
2025-11-05,18.93,19.35,18.93,19.27,9514971
2025-11-06,19.28,19.82,19.27,19.74,7267001
2025-11-07,19.77,20.19,19.77,20.19,2419126
2025-11-10,20.17,20.68,20.08,20.67,9655306
2025-11-11,20.67,20.75,19.98,20.05,5420648
2025-11-12,20.07,20.15,19.89,19.96,9348934
2025-11-13,19.98,20.11,19.65,19.74,9997176
2025-11-14,19.75,19.83,19.61,19.78,5171496
2025-11-17,19.79,19.9,19.65,19.84,7599536
2025-11-18,19.84,20.46,19.81,20.35,4809700
2025-11-19,20.34,20.74,20.22,20.71,9295812
2025-11-20,20.73,20.86,20.31,20.35,7097118
2025-11-21,20.37,20.79,20.36,20.77,7874638
2025-11-24,20.76,21.61,20.76,21.53,4679807
2025-11-25,21.52,21.72,21.4,21.7,9927415
2025-11-26,21.72,21.8,20.94,21.0,9839550
2025-11-27,21.02,21.07,20.64,20.72,6305131
2025-11-28,20.7,20.73,20.55,20.65,8106734
2025-12-01,20.62,20.66,19.88,19.94,7160082
2025-12-02,19.94,20.0,19.82,19.89,4055547
2025-12-03,19.91,20.07,19.34,19.35,6579349
2025-12-04,19.37,19.77,19.27,19.71,4175825
2025-12-05,19.72,20.05,19.57,20.02,5617984
2025-12-08,19.99,20.11,19.86,20.01,5685551
2025-12-09,20.01,20.01,19.39,19.47,4289944
2025-12-10,19.47,19.64,19.37,19.61,4599637
2025-12-11,19.6,19.61,19.22,19.36,6337650
2025-12-12,19.41,19.41,18.98,19.08,5109654
2025-12-15,19.08,19.57,19.03,19.56,3632835
2025-12-16,19.57,19.6,19.22,19.26,6636254
2025-12-17,19.25,19.27,18.63,18.69,6641232
2025-12-18,18.7,19.05,18.66,19.03,7450531
2025-12-19,19.05,19.94,19.0,19.79,6499586
2025-12-22,19.79,20.54,19.77,20.51,6189211
2025-12-23,20.51,20.96,20.41,20.88,2408936
2025-12-24,20.87,21.87,20.85,21.86,6738431
2025-12-25,21.84,21.92,21.67,21.71,7684904
2025-12-26,21.71,22.87,21.65,22.77,2907671
2025-12-29,22.78,23.88,22.68,23.84,4915795
2025-12-30,23.84,23.96,23.58,23.68,6080562
2025-12-31,23.68,23.97,23.67,23.92,2462059
2026-01-01,23.88,23.9,23.12,23.26,8192494
2026-01-02,23.27,23.44,22.6,22.76,6673970
2026-01-05,22.76,23.15,22.75,23.06,2834854
2026-01-06,23.1,23.21,22.43,22.49,6560336
2026-01-07,22.48,22.75,22.33,22.62,7466606
2026-01-08,22.59,22.95,22.59,22.87,9278518
2026-01-09,22.83,23.0,22.74,22.96,5650510
2026-01-12,22.95,23.52,22.92,23.48,5725916
2026-01-13,23.48,24.53,23.43,24.51,4102533
2026-01-14,24.52,24.64,24.3,24.64,2944672
2026-01-15,24.6,25.31,24.53,25.21,5011591
2026-01-16,25.2,26.08,25.11,26.08,5218461
2026-01-19,26.1,26.14,25.71,25.85,6119209
2026-01-20,25.85,25.97,25.34,25.5,7666040
2026-01-21,25.49,25.49,24.1,24.17,2571775
2026-01-22,24.16,24.46,24.16,24.43,8013456
2026-01-23,24.39,25.06,24.36,25.03,3451616
2026-01-26,25.0,25.35,24.87,25.31,3088979
2026-01-27,25.3,26.75,25.28,26.52,8213454
2026-01-28,26.55,27.5,26.44,27.45,9273651
2026-01-29,27.48,28.0,27.39,27.99,7920917
2026-01-30,27.98,28.13,27.88,28.01,9607583
2026-02-02,28.02,28.22,27.33,27.51,9098906
2026-02-03,27.52,27.68,27.45,27.62,8552729
2026-02-04,27.65,28.03,27.56,27.96,9697050
2026-02-05,27.94,28.05,27.88,27.97,3755414
2026-02-06,27.97,28.03,27.73,27.82,6639128
2026-02-09,27.85,28.03,27.59,27.63,2324794
2026-02-10,27.59,28.17,27.58,28.1,2819475
2026-02-11,28.1,28.21,26.87,27.09,3956682
2026-02-12,27.09,27.25,26.66,26.94,8018303
2026-02-13,26.95,27.05,26.8,27.02,8543494
2026-02-16,27.04,27.61,27.03,27.48,5623032
2026-02-17,27.5,28.09,27.49,27.95,4011189
2026-02-18,27.98,28.17,27.77,27.85,5508795
2026-02-19,27.89,28.0,27.49,27.54,8933918
2026-02-20,27.55,27.57,26.81,26.87,4566072
2026-02-23,26.93,27.8,26.89,27.6,4535350
2026-02-24,27.59,28.03,27.53,28.0,9812966
2026-02-25,28.0,28.31,27.91,28.17,6176945
2026-02-26,28.18,28.35,27.7,27.77,7367744
2026-02-27,27.75,27.79,27.1,27.12,4861156
2026-03-02,27.08,27.89,27.02,27.86,7612101
2026-03-03,27.83,27.96,27.75,27.9,3027717
2026-03-04,27.93,28.28,27.89,28.24,2182312
2026-03-05,28.22,29.44,28.14,29.4,8402882
2026-03-06,29.36,29.5,28.45,28.46,2828757
2026-03-09,28.51,28.66,27.94,28.02,3190907
2026-03-10,28.03,28.34,27.96,28.29,8401041
2026-03-11,28.29,28.86,28.13,28.72,9692395
2026-03-12,28.7,28.76,28.09,28.11,8450380
2026-03-13,28.12,28.21,28.07,28.11,3662869
2026-03-16,28.09,28.12,27.68,27.78,6656079
2026-03-17,27.78,27.99,27.46,27.47,5395649
2026-03-18,27.47,27.78,27.4,27.74,8941155
2026-03-19,27.74,28.07,27.72,27.91,8396921
