Date,Open,High,Low,Close,Volume
2025-08-22,108.47,109.02,108.31,108.71,3409160
2025-08-25,108.71,110.73,108.49,110.11,9942367
2025-08-26,110.17,113.27,109.44,112.42,4305567
2025-08-27,112.4,114.81,112.09,114.76,2551637
2025-08-28,114.57,119.02,114.28,118.95,5199802
2025-08-29,118.8,119.11,117.77,118.06,8516287
2025-09-01,118.09,119.9,118.08,119.37,9370464
2025-09-02,119.54,119.89,118.51,118.52,6854946
2025-09-03,118.29,118.85,114.66,115.16,2371338
2025-09-04,115.1,115.3,113.32,113.57,3615905
2025-09-05,113.6,114.13,113.26,113.9,3392660
2025-09-08,113.93,114.27,110.43,111.84,9074930
2025-09-09,111.9,112.41,110.57,111.43,4574377
2025-09-10,111.56,114.07,111.22,113.95,5736737
2025-09-11,114.04,115.56,113.79,115.27,9108497
2025-09-12,115.11,117.1,114.35,116.62,3003107
2025-09-15,116.58,117.84,116.31,117.44,9513758
2025-09-16,117.32,117.78,116.5,117.06,4146287
2025-09-17,117.06,117.11,112.13,112.71,9313561
2025-09-18,112.88,115.44,112.57,114.96,4597650
2025-09-19,115.09,115.57,110.72,111.52,3452185
2025-09-22,111.78,112.3,111.55,112.03,7216467
2025-09-23,112.19,112.26,111.56,111.81,8723824
2025-09-24,111.93,112.35,111.81,112.14,4268880
2025-09-25,112.26,113.01,111.91,112.72,9179441
2025-09-26,112.65,112.72,111.1,111.99,3055036
2025-09-29,111.98,114.39,111.25,114.03,2120444
2025-09-30,114.11,114.48,111.08,111.13,6255451
2025-10-01,111.22,113.28,110.88,112.91,4292425
2025-10-02,112.98,113.47,108.53,109.11,7465251
2025-10-03,109.01,112.11,108.45,111.72,4354326
2025-10-06,111.61,111.62,110.54,110.61,8716266
2025-10-07,110.49,111.66,110.41,111.46,4196490
2025-10-08,111.67,114.86,111.45,114.84,4487054
2025-10-09,114.83,115.19,109.82,109.9,8718756
2025-10-10,109.99,110.06,108.74,109.23,6775045
2025-10-13,109.23,110.72,109.0,110.5,9697366
2025-10-14,110.49,112.76,110.36,112.51,8284685
2025-10-15,112.49,115.76,112.46,115.59,9630795
2025-10-16,115.55,117.56,115.42,117.01,3926221
2025-10-17,117.03,118.35,116.36,118.24,8085080
2025-10-20,118.34,118.68,118.2,118.51,4828836
2025-10-21,118.37,119.36,118.03,119.17,2900686
2025-10-22,119.18,119.46,119.04,119.36,5964077
2025-10-23,119.33,122.11,119.24,121.75,6716155
2025-10-24,121.71,122.54,121.02,122.16,4785111
2025-10-27,122.25,125.22,122.04,123.82,5993694
2025-10-28,124.03,128.34,124.0,127.85,9108290
2025-10-29,127.68,131.01,127.27,130.87,2585887
2025-10-30,130.89,130.95,129.72,129.99,4839100
2025-10-31,130.14,130.5,129.7,129.75,7844291
2025-11-03,129.87,132.01,129.77,131.68,7292726
2025-11-04,131.48,132.08,129.36,130.02,9074911
2025-11-05,130.09,130.77,125.18,125.28,7282802
2025-11-06,125.24,126.02,122.52,122.77,2998087
2025-11-07,122.73,124.69,122.21,124.12,6669157
2025-11-10,124.22,124.7,123.41,123.62,8664580
2025-11-11,123.5,123.93,121.67,122.76,5620362
2025-11-12,122.8,125.34,122.67,124.62,7477416
2025-11-13,124.74,125.37,121.66,122.03,9258615
2025-11-14,121.95,127.65,121.9,127.58,9684588
2025-11-17,127.46,128.32,127.32,127.66,9175025
2025-11-18,127.94,128.43,126.68,126.86,8702406
2025-11-19,126.74,132.45,126.49,132.05,8088460
2025-11-20,132.23,132.59,128.7,129.2,8762457
2025-11-21,129.12,129.36,127.82,127.94,2292570
2025-11-24,127.97,128.4,127.07,127.74,8129421
2025-11-25,127.68,128.1,124.66,125.31,4058587
2025-11-26,125.34,125.42,124.23,124.49,9993448
2025-11-27,124.51,126.45,123.41,125.96,3798885
2025-11-28,125.83,126.48,125.61,126.41,8768910
2025-12-01,126.4,126.58,125.69,126.32,9689166
2025-12-02,126.44,129.03,125.97,128.84,9721907
